Year,League,Position,PlayerName,Team,NumYearsAllStar,PlayerCode,Team Code,PictureStatus
2009,AL,2B,Aaron Hill,Blue Jays,1,hilla001,TOR,
2007,NL,OF,Aaron Rowand,Phillies,1,rowaa001,PHI,
2006,NL,OF,Aaron Rowand,Phillies,1,rowaa001,PHI,
2012,AL,DH,Adam Dunn,White Sox,2,dunna001,CHW,
2012,AL,OF,Adam Jones,Orioles,2,jonea003,BAL,
2009,AL,OF,Adam Jones,Orioles,1,jonea003,BAL,
2012,AL,3B,Adrián Beltré,Rangers,3,belta001,TEX,
2011,AL,3B,Adrián Beltré,Rangers,2,belta001,TEX,
2010,AL,3B,Adrián Beltré,Red Sox,1,belta001,BOS,
2011,AL,1B,Adrian Gonzalez,Red Sox,4,gonza003,BOS,
2010,NL,1B,Adrian Gonzalez,Padres,3,gonza003,SD,
2009,NL,1B,Adrian Gonzalez,Padres,2,gonza003,SD,
2008,AL,1B,Adrian Gonzalez,Padres,1,gonza003,SD,
2010,NL,1B,Albert Pujols,Cardinals,9,pujoa001,STL,
2009,NL,1B,Albert Pujols,Cardinals,8,pujoa001,STL,
2008,AL,DH,Albert Pujols,Cardinals,7,pujoa001,STL,
2007,NL,1B,Albert Pujols a,Cardinals,6,pujoa001,STL,
2006,NL,1B,Albert Pujols a,Cardinals,6,pujoa001,STL,
2011,AL,C,Alex Avila,Tigers,1,avila001,DET,
2007,AL,OF,Alex Ríos,Blue Jays,2,riosa002,TOR,
2006,AL,OF,Alex Ríos,Blue Jays,2,riosa002,TOR,
2010,AL,3B,Alex Rodriguez,Yankees,13,rodra001,NYY,
2008,NL,3B,Alex Rodriguez,Yankees,12,rodra001,NYY,
2007,AL,3B,Alex Rodriguez,Yankees,11,rodra001,NYY,
2006,AL,3B,Alex Rodriguez,Yankees,11,rodra001,NYY,
2011,AL,3B,Alex Rodriguez#,Yankees,14,rodra001,NYY,
2007,NL,OF,Alfonso Soriano,Cubs,6,soria001,CHC,
2006,NL,OF,Alfonso Soriano,Cubs,6,soria001,CHC,
2008,AL,OF,Alfonso Sorianob,Cubs,7,soria001,CHC,
2010,NL,OF,Andre Ethier,Dodgers,1,ethia001,LAD,
2011,NL,OF,Andre Ethier[M],Dodgers,2,ethia001,LAD,
2012,NL,OF,Andrew McCutchen,Pirates,2,mccua001,PIT,
2011,NL,OF,Andrew McCutchen[N],Pirates,1,mccua001,PIT,
2008,AL,3B,Aramis Ramírez,Cubs,2,ramia001,CHC,
2012,AL,SS,Asdrúbal Cabrera,Indians,2,cabra002,CLE,
2011,AL,SS,Asdrúbal Cabrera,Indians,1,cabra002,CLE,
2007,NL,OF,Barry Bonds,Giants,14,bondb001,SF,No Profile Picture
2006,NL,OF,Barry Bonds,Giants,14,bondb001,SF,
2009,AL,2B,Ben Zobrist,Rays,1,zobrb001,TAM,
2012,AL,DH,Billy Butler,Royals,1,butlb003,KC,
2009,NL,OF,Brad Hawpe,Rockies,1,hawpb001,COL,
2009,AL,3B,Brandon Inge,Tigers,1,ingeb001,DET,
2011,NL,2B,Brandon Phillips,Reds,2,philb001,CIN,
2010,NL,2B,Brandon Phillips,Reds,1,philb001,CIN,
